City,Floor,Rooms,Sqm,District,Broker,Currency,HTML_ID,Agency,Type,Source,nFloor,Price,ID,Price_USD,price_per_sqm
Երևան,9.0,3.0,124.0,կենտրոն,գործակալ,$,0,1.0,Մոնոլիտ,my_realty,10.0,250000.0,93497.0,250000.0,2016.13
Երևան,1.0,4.0,84.0,քանաքեռ_զեյթուն,գործակալություն,$,1,1.0,Քարե,my_realty,2.0,70000.0,93495.0,70000.0,833.33
Երևան,1.0,2.0,58.0,մալաթիա_սեբաստիա,գործակալ,$,2,1.0,Պանելային,my_realty,9.0,48000.0,93490.0,48000.0,827.59
Երևան,5.0,2.0,64.0,արաբկիր,գործակալություն,$,3,1.0,Քարե,my_realty,5.0,80000.0,85156.0,80000.0,1250.0
Երևան,1.0,3.0,65.0,կենտրոն,գործակալություն,$,4,1.0,Քարե,my_realty,14.0,62000.0,59140.0,62000.0,953.85
Երևան,3.0,2.0,67.0,աջափնյակ,գործակալություն,$,5,1.0,Քարե,my_realty,12.0,67000.0,63450.0,67000.0,1000.0
Երևան,2.0,4.0,114.0,կենտրոն,գործակալություն,$,6,1.0,Քարե,my_realty,5.0,129000.0,65565.0,129000.0,1131.58
Երևան,14.0,3.0,140.0,դավթաշեն,գործակալություն,$,7,1.0,Մոնոլիտ,my_realty,16.0,160000.0,66796.0,160000.0,1142.86
Երևան,4.0,2.0,87.0,կենտրոն,գործակալություն,$,8,1.0,Մոնոլիտ,my_realty,10.0,174000.0,69142.0,174000.0,2000.0
Երևան,2.0,2.0,52.0,կենտրոն,գործակալություն,$,9,1.0,Քարե,my_realty,5.0,115000.0,72652.0,115000.0,2211.54
Երևան,2.0,3.0,100.0,կենտրոն,գործակալություն,$,10,1.0,Պանելային,my_realty,9.0,170000.0,74464.0,170000.0,1700.0
Երևան,5.0,3.0,86.0,կենտրոն,գործակալություն,$,11,1.0,Քարե,my_realty,5.0,120000.0,74655.0,120000.0,1395.35
Երևան,2.0,3.0,70.0,կենտրոն,գործակալություն,$,12,1.0,Քարե,my_realty,4.0,150000.0,74777.0,150000.0,2142.86
Երևան,4.0,3.0,86.0,կենտրոն,գործակալություն,$,13,1.0,Քարե,my_realty,4.0,62000.0,75125.0,62000.0,720.93
Երևան,3.0,2.0,47.0,արաբկիր,գործակալություն,$,14,1.0,Պանելային,my_realty,9.0,49000.0,82649.0,49000.0,1042.55
Երևան,5.0,2.0,45.0,արաբկիր,գործակալություն,$,15,1.0,Քարե,my_realty,5.0,55000.0,85965.0,55000.0,1222.22
Երևան,4.0,2.0,73.0,արաբկիր,գործակալ,$,16,1.0,Քարե,my_realty,4.0,101000.0,93489.0,101000.0,1383.56
Երևան,9.0,2.0,75.0,արաբկիր,գործակալություն,$,17,1.0,Այլ,my_realty,12.0,66000.0,51707.0,66000.0,880.0
Երևան,12.0,2.0,46.0,արաբկիր,գործակալություն,$,18,1.0,Մոնոլիտ,my_realty,15.0,56500.0,90067.0,56500.0,1228.26
Երևան,1.0,2.0,48.0,արաբկիր,գործակալություն,$,19,1.0,Քարե,my_realty,5.0,50000.0,73013.0,50000.0,1041.67
Երևան,5.0,2.0,78.0,արաբկիր,գործակալություն,$,20,1.0,Քարե,my_realty,5.0,250000.0,63590.0,250000.0,3205.13
Երևան,14.0,3.0,78.0,աջափնյակ,գործակալ,$,21,1.0,Պանելային,my_realty,16.0,42000.0,77706.0,42000.0,538.46
Երևան,7.0,2.0,70.0,արաբկիր,գործակալ,$,22,1.0,Պանելային,my_realty,7.0,55000.0,85244.0,55000.0,785.71
Երևան,3.0,2.0,50.0,շենգավիթ,գործակալ,$,23,1.0,Քարե,my_realty,4.0,48000.0,72056.0,48000.0,960.0
Երևան,3.0,2.0,70.0,արաբկիր,գործակալ,$,24,1.0,Քարե,my_realty,5.0,72000.0,76729.0,72000.0,1028.57
Երևան,2.0,2.0,60.0,արաբկիր,գործակալություն,$,25,1.0,Քարե,my_realty,3.0,57000.0,89212.0,57000.0,950.0
Երևան,9.0,3.0,123.0,կենտրոն,գործակալ,$,26,1.0,Այլ,my_realty,11.0,195000.0,85284.0,195000.0,1585.37
Երևան,2.0,2.0,96.0,արաբկիր,գործակալություն,$,27,1.0,Մոնոլիտ,my_realty,8.0,125000.0,74687.0,125000.0,1302.08
Երևան,5.0,2.0,58.0,արաբկիր,գործակալություն,$,28,1.0,Քարե,my_realty,5.0,83000.0,91315.0,83000.0,1431.03
Երևան,8.0,3.0,80.0,քանաքեռ_զեյթուն,գործակալ,$,29,1.0,Պանելային,my_realty,9.0,63000.0,91241.0,63000.0,787.5
Երևան,2.0,3.0,76.0,նոր_նորք,գործակալ,$,30,1.0,Պանելային,my_realty,9.0,56000.0,91248.0,56000.0,736.84
Երևան,2.0,4.0,88.0,մալաթիա_սեբաստիա,գործակալ,$,31,1.0,Պանելային,my_realty,9.0,60000.0,90300.0,60000.0,681.82
Երևան,2.0,3.0,135.0,արաբկիր,գործակալ,$,32,1.0,Քարե,my_realty,5.0,130000.0,71293.0,130000.0,962.96
Երևան,3.0,2.0,63.0,արաբկիր,գործակալություն,$,33,1.0,Քարե,my_realty,4.0,77000.0,88830.0,77000.0,1222.22
Երևան,3.0,2.0,75.0,արաբկիր,գործակալություն,$,34,1.0,Քարե,my_realty,5.0,80000.0,55153.0,80000.0,1066.67
Երևան,10.0,3.0,104.0,արաբկիր,գործակալ,$,35,1.0,Մոնոլիտ,my_realty,17.0,168000.0,88745.0,168000.0,1615.38
Երևան,12.0,4.0,150.0,արաբկիր,գործակալ,$,36,1.0,Մոնոլիտ,my_realty,17.0,390000.0,88740.0,390000.0,2600.0
Երևան,2.0,1.0,50.0,արաբկիր,գործակալ,$,37,1.0,Քարե,my_realty,7.0,51000.0,88727.0,51000.0,1020.0
Երևան,8.0,3.0,84.0,արաբկիր,գործակալ,$,38,1.0,Պանելային,my_realty,16.0,82000.0,88726.0,82000.0,976.19
Երևան,4.0,2.0,78.0,արաբկիր,գործակալություն,$,39,1.0,Քարե,my_realty,4.0,82000.0,55079.0,82000.0,1051.28
Երևան,5.0,2.0,70.0,քանաքեռ_զեյթուն,գործակալ,$,40,1.0,Այլ,my_realty,14.0,78000.0,87920.0,78000.0,1114.29
Երևան,7.0,4.0,87.0,արաբկիր,գործակալ,$,41,1.0,Քարե,my_realty,7.0,82000.0,71131.0,82000.0,942.53
Երևան,4.0,1.0,34.0,կենտրոն,գործակալ,$,42,1.0,Այլ,my_realty,4.0,85000.0,83041.0,85000.0,2500.0
Երևան,3.0,2.0,60.0,մալաթիա_սեբաստիա,գործակալ,$,43,1.0,Պանելային,my_realty,9.0,48000.0,88713.0,48000.0,800.0
Երևան,4.0,1.0,53.0,կենտրոն,գործակալ,$,44,1.0,Պանելային,my_realty,10.0,100000.0,73029.0,100000.0,1886.79
Երևան,5.0,3.0,130.0,մալաթիա_սեբաստիա,գործակալ,$,45,1.0,Քարե,my_realty,5.0,46000.0,85740.0,46000.0,353.85
Երևան,3.0,4.0,125.0,ավան,գործակալ,$,46,1.0,Մոնոլիտ,my_realty,14.0,130000.0,64990.0,130000.0,1040.0
Երևան,5.0,3.0,90.0,արաբկիր,գործակալ,$,47,1.0,Քարե,my_realty,5.0,70000.0,75588.0,70000.0,777.78
Երևան,6.0,3.0,98.0,կենտրոն,գործակալ,$,48,1.0,Պանելային,my_realty,11.0,130000.0,72570.0,130000.0,1326.53
Երևան,8.0,4.0,88.0,շենգավիթ,գործակալ,$,49,1.0,Այլ,my_realty,9.0,70000.0,56195.0,70000.0,795.45
Երևան,16.0,4.0,173.0,կենտրոն,գործակալ,$,50,1.0,Այլ,my_realty,23.0,430000.0,60770.0,430000.0,2485.55
Երևան,1.0,4.0,107.0,արաբկիր,գործակալ,$,51,1.0,Քարե,my_realty,5.0,107000.0,55788.0,107000.0,1000.0
Երևան,5.0,3.0,83.0,էրեբունի,գործակալություն,$,52,1.0,Այլ,my_realty,9.0,58000.0,88647.0,58000.0,698.8
Երևան,5.0,2.0,46.0,մալաթիա_սեբաստիա,գործակալ,$,53,1.0,Քարե,my_realty,5.0,30000.0,88656.0,30000.0,652.17
Երևան,2.0,1.0,37.0,նոր_նորք,գործակալ,$,54,1.0,Քարե,my_realty,6.0,32000.0,88634.0,32000.0,864.86
Երևան,5.0,3.0,74.0,արաբկիր,գործակալ,$,55,1.0,Քարե,my_realty,5.0,97000.0,88635.0,97000.0,1310.81
Երևան,2.0,4.0,96.0,կենտրոն,գործակալ,$,56,1.0,Պանելային,my_realty,9.0,160000.0,74020.0,160000.0,1666.67
Երևան,3.0,3.0,80.0,կենտրոն,գործակալ,$,57,1.0,Պանելային,my_realty,9.0,170000.0,74568.0,170000.0,2125.0
Երևան,7.0,2.0,68.0,դավթաշեն,գործակալ,$,58,1.0,Մոնոլիտ,my_realty,12.0,78000.0,82470.0,78000.0,1147.06
Երևան,8.0,4.0,126.0,արաբկիր,գործակալ,$,59,1.0,Պանելային,my_realty,12.0,135000.0,74082.0,135000.0,1071.43
Երևան,9.0,3.0,90.0,կենտրոն,գործակալ,$,60,1.0,Պանելային,my_realty,11.0,138000.0,90587.0,138000.0,1533.33
Երևան,6.0,3.0,97.0,կենտրոն,գործակալ,$,61,1.0,Պանելային,my_realty,10.0,140000.0,90538.0,140000.0,1443.3
Երևան,5.0,4.0,120.0,դավթաշեն,գործակալ,$,62,1.0,Մոնոլիտ,my_realty,16.0,182000.0,90526.0,182000.0,1516.67
Երևան,14.0,4.0,118.0,կենտրոն,գործակալ,$,63,1.0,Մոնոլիտ,my_realty,14.0,138000.0,86800.0,138000.0,1169.49
Երևան,3.0,3.0,89.0,կենտրոն,գործակալ,$,64,1.0,Քարե,my_realty,4.0,240000.0,74592.0,240000.0,2696.63
Երևան,4.0,4.0,100.0,քանաքեռ_զեյթուն,գործակալ,$,65,1.0,Այլ,my_realty,7.0,84000.0,82988.0,84000.0,840.0
Երևան,1.0,1.0,55.0,կենտրոն,գործակալ,$,66,1.0,Այլ,my_realty,5.0,120000.0,83370.0,120000.0,2181.82
Երևան,4.0,2.0,58.0,արաբկիր,գործակալ,$,67,1.0,Քարե,my_realty,5.0,60000.0,61474.0,60000.0,1034.48
Երևան,3.0,2.0,72.0,էրեբունի,գործակալ,$,68,1.0,Այլ,my_realty,5.0,46000.0,78750.0,46000.0,638.89
Երևան,3.0,3.0,78.0,շենգավիթ,գործակալ,$,69,1.0,Այլ,my_realty,4.0,42000.0,65816.0,42000.0,538.46
Երևան,1.0,3.0,79.0,մալաթիա_սեբաստիա,գործակալ,$,70,1.0,Պանելային,my_realty,9.0,80000.0,85625.0,80000.0,1012.66
Երևան,8.0,2.0,54.0,շենգավիթ,գործակալ,$,71,1.0,Այլ,my_realty,9.0,48000.0,79087.0,48000.0,888.89
Երևան,1.0,3.0,78.0,մալաթիա_սեբաստիա,գործակալ,$,72,1.0,Պանելային,my_realty,9.0,66500.0,80363.0,66500.0,852.56
Երևան,4.0,4.0,111.0,կենտրոն,գործակալ,$,73,1.0,Այլ,my_realty,4.0,149000.0,83363.0,149000.0,1342.34
Երևան,4.0,4.0,98.0,դավթաշեն,գործակալ,$,74,1.0,Մոնոլիտ,my_realty,11.0,94000.0,90519.0,94000.0,959.18
Երևան,7.0,2.0,63.0,կենտրոն,գործակալ,$,75,1.0,Պանելային,my_realty,9.0,145000.0,74118.0,145000.0,2301.59
Երևան,10.0,2.0,48.0,կենտրոն,գործակալ,$,76,1.0,Պանելային,my_realty,10.0,115000.0,74308.0,115000.0,2395.83
Երևան,11.0,3.0,96.0,կենտրոն,գործակալ,$,77,1.0,Պանելային,my_realty,16.0,85000.0,73426.0,85000.0,885.42
Երևան,11.0,3.0,86.0,արաբկիր,գործակալ,$,78,1.0,Այլ,my_realty,12.0,83000.0,83435.0,83000.0,965.12
Երևան,3.0,3.0,87.0,կենտրոն,գործակալ,$,79,1.0,Քարե,my_realty,4.0,100000.0,89766.0,100000.0,1149.43
Երևան,2.0,3.0,85.0,ավան,գործակալ,$,80,1.0,Պանելային,my_realty,9.0,53000.0,89716.0,53000.0,623.53
Երևան,4.0,3.0,95.0,մալաթիա_սեբաստիա,գործակալ,$,81,1.0,Պանելային,my_realty,14.0,65000.0,89686.0,65000.0,684.21
Երևան,3.0,3.0,108.0,ավան,գործակալ,$,82,1.0,Պանելային,my_realty,14.0,78000.0,85767.0,78000.0,722.22
Երևան,3.0,3.0,71.0,արաբկիր,գործակալ,$,83,1.0,Քարե,my_realty,5.0,97000.0,87617.0,97000.0,1366.2
Երևան,4.0,4.0,107.0,քանաքեռ_զեյթուն,գործակալ,$,84,1.0,Քարե,my_realty,5.0,75000.0,86608.0,75000.0,700.93
Երևան,5.0,3.0,80.0,կենտրոն,գործակալ,$,85,1.0,Այլ,my_realty,5.0,82000.0,86621.0,82000.0,1025.0
Երևան,1.0,3.0,85.0,աջափնյակ,գործակալ,$,86,1.0,Պանելային,my_realty,9.0,44000.0,74369.0,44000.0,517.65
Երևան,4.0,4.0,100.0,կենտրոն,գործակալ,$,87,1.0,Այլ,my_realty,5.0,125000.0,61722.0,125000.0,1250.0
Երևան,5.0,1.0,45.0,մալաթիա_սեբաստիա,գործակալ,$,88,1.0,Պանելային,my_realty,9.0,35000.0,71834.0,35000.0,777.78
Երևան,5.0,2.0,78.0,կենտրոն,գործակալ,$,89,1.0,Այլ,my_realty,7.0,92000.0,91174.0,92000.0,1179.49
Երևան,4.0,1.0,49.0,մալաթիա_սեբաստիա,գործակալ,$,90,1.0,Պանելային,my_realty,9.0,34000.0,91178.0,34000.0,693.88
Երևան,4.0,2.0,36.0,նոր_նորք,գործակալ,$,91,1.0,Մոնոլիտ,my_realty,9.0,35000.0,91179.0,35000.0,972.22
Երևան,4.0,2.0,54.0,ավան,գործակալ,$,92,1.0,Պանելային,my_realty,9.0,43000.0,91182.0,43000.0,796.3
Երևան,9.0,3.0,92.0,ավան,գործակալ,$,93,1.0,Պանելային,my_realty,9.0,95000.0,91183.0,95000.0,1032.61
Երևան,5.0,3.0,75.0,շենգավիթ,գործակալ,$,94,1.0,Քարե,my_realty,5.0,50000.0,91185.0,50000.0,666.67
